sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-12/032,2,5755756789,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,220,5069.56,5069.56,0,6595557,мешок ноль
2026-05-12/032,3,6400411655,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,220,-6338.00,7390.88,-13726.88,7509545,МИНУС мешок -13727
2026-05-12/032,4,4393923927,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,220,-6400.32,7391.46,-13791.78,7533273,МИНУС мешок -13792
2026-05-12/033,1,6023349586,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,,1.2,0.3,0,0.08283,0.08288,-0.0000430,4146800,
2026-05-12/033,2,5648466148,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,200,1.2,0.21,10,0.22598,0.22600,-0.0001664,19367200,
2026-05-12/033,3,6142415013,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.21,10,0.21961,0.21973,-0.0001993,18851800,
2026-05-12/033,4,4018494423,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,200,1.2,0.21,10,0.22579,0.22598,-0.0001664,19370800,
2026-05-12/034,1,6142415013,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.21,10,0.21961,0.21974,-0.0001993,18851800,
2026-05-12/034,2,5400618661,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,200,1.2,0.25,10,0.24917,0.24929,-0.0001275,17232200,
2026-05-12/034,3,4354383204,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.25,10,0.24353,0.24365,-0.0001199,16841600,
2026-05-12/034,4,5422217334,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,200,1.2,0.25,10,0.24914,0.24927,-0.0001275,17229800,
2026-05-12/036,1,5278640495,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.21,5,0.21977,0.21989,-0.0001993,18862200,
2026-05-12/036,2,6324638345,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.21,15,0.22557,0.22574,-0.0001664,19366200,
2026-05-12/036,3,4983594784,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.21,5,0.21978,0.21988,-0.0001993,18862600,
2026-05-12/036,4,5936864149,BTCUSD-инв,INDICATOR,Long,-0.7,0.02,5000,100,200,1.2,0.21,15,0.22573,0.22587,-0.0001664,19366200,
2026-05-12/037,1,4571574358,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,5,0.14691,0.14698,-0.0000745,12620600,
2026-05-12/037,2,4935309443,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,15,0.15103,0.15109,-0.0000887,12951400,
2026-05-12/037,3,4571574358,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,5,0.14691,0.14698,-0.0000745,12620600,дубль
2026-05-12/037,4,6204016695,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,20,0.15115,0.15123,-0.0000887,12951000,
2026-05-12/038,1,5512488164,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,0,0.14692,0.14699,-0.0000745,12621800,
2026-05-12/038,2,4638091771,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,20,0.15118,0.15127,-0.0000887,12954200,
2026-05-12/038,3,4996201222,BTCUSD-инв,INDICATOR,Long,-0.7,0.03,5000,100,200,1.2,0.21,25,0.14685,0.14693,-0.0000745,12617800,
