sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-18/017,3,5852489954,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.002,1.3,0.13,12,2123.63,2123.63,0,25180271,окно 10.02-10.05 мешок ноль
2026-05-18/017,4,4781973445,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,12,1853.51,2325.33,-471.82,20297284,окно 10.02-10.05
2026-05-19/002,1,4348063964,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,12,2279.58,2279.58,0,22469580,окно 10.02-10.05 мешок ноль
2026-05-19/002,2,5889630363,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.002,1.3,0.13,12,2050.69,2528.45,-477.76,20038054,окно 10.02-10.05
2026-05-19/002,3,4467049477,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.002,1.2,0.21,10,1397.81,1455.66,-57.85,10109118,окно 10.02-10.05
2026-05-19/002,4,5543011091,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.002,1.2,0.13,10,-4595.90,3620.23,-8216.13,11196900,окно 10.02-10.05 МИНУС
2026-05-19/003,1,5858893588,BTCUSDT,INDICATOR,Short,1.0,0.02,5000,0.001,0.002,1.2,0.21,12,1202.43,1268.81,-66.38,7198798,окно 10.02-10.05
2026-05-19/003,2,6132918173,BTCUSDT,INDICATOR,Short,0.5,0.02,5000,0.001,0.002,1.2,0.35,12,-4889.74,3613.37,-8503.11,10802652,окно 10.02-10.05 МИНУС
2026-05-19/003,3,6002492312,BTCUSDT,INDICATOR,Short,1.3,0.02,5000,0.001,0.002,1.2,0.35,12,935.02,935.02,0,5126561,окно 10.02-10.05 мешок ноль
2026-05-19/003,4,6181157680,BTCUSDT,INDICATOR,Short,1.5,0.02,5000,0.001,0.002,1.2,0.35,12,634.24,634.24,0,2893202,окно 10.02-10.05 мешок ноль
2026-05-18/015,2,4520598255,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.002,1.3,0.13,5,1321.28,1321.28,0,12250810,окно 10.02-10.05 мешок ноль
2026-05-18/015,3,4580358305,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,5,1774.55,1774.55,0,16714772,окно 10.02-10.05 мешок ноль
2026-05-18/015,4,6280163650,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.003,1.3,0.13,5,2249.34,2249.34,0,24342666,окно 10.02-10.05 мешок ноль
2026-05-19/006,1,5650159746,BTCUSDT,INDICATOR,Short,0.7,0.03,5000,0.001,0.003,1.2,0.21,12,1532.69,1585.54,-52.85,9591893,окно 10.02-10.05
2026-05-19/006,2,4324427983,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.2,0.21,12,1644.08,1704.45,-60.37,9577709,окно 10.02-10.05
2026-05-19/006,3,5050261147,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.21,12,5038.61,5038.61,0,21908987,окно 10.02-10.05 мешок ноль
2026-05-19/006,4,6098304995,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.21,12,-14598.20,7678.23,-22276.43,32273484,окно 10.02-10.05 МИНУС поза -4 BTC
2026-05-19/007,1,5461277661,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.18,12,-7728.91,7939.20,-15668.11,28155398,окно 10.02-10.05 МИНУС поза -3 BTC
2026-05-19/007,2,4734689655,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.25,12,5051.98,5051.98,0,19084219,окно 10.02-10.05 мешок ноль
2026-05-19/007,3,6013030772,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.3,12,4944.14,5100.36,-156.22,17951133,окно 10.02-10.05
2026-05-19/007,4,4862415480,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.24,12,5146.41,5146.41,0,19756074,окно 10.02-10.05 мешок ноль
2026-05-19/008,1,5501256444,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.23,12,4330.41,4330.41,0,21669865,окно 10.02-10.05 мешок ноль
2026-05-19/008,2,5256352276,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.22,12,3861.95,3861.95,0,23182833,окно 10.02-10.05 мешок ноль
2026-05-19/008,3,4302278341,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.2,12,3434.69,3604.08,-169.40,25697667,окно 10.02-10.05
2026-05-19/009,1,4990093286,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.24,8,4728.14,4728.14,0,18230279,окно 10.02-10.05 мешок ноль
2026-05-19/009,2,5456106505,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.24,10,4910.42,4910.42,0,18750577,окно 10.02-10.05 мешок ноль
2026-05-19/009,3,5081640560,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.24,14,5362.89,5362.89,0,20723119,окно 10.02-10.05 мешок ноль
2026-05-19/009,4,6095342890,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.003,1.2,0.24,16,5776.62,5776.62,0,20708558,окно 10.02-10.05 мешок ноль
2026-05-19/011,1,6387960395,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.3,0.24,20,6111.98,6271.76,-159.78,21996428,окно 10.02-10.05
2026-05-19/011,2,5331458626,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.1,0.24,20,5838.80,5989.46,-150.66,21676114,окно 10.02-10.05
2026-05-19/011,3,4594656290,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.4,0.24,20,6159.55,6159.55,0,21710002,окно 10.02-10.05 мешок ноль
2026-05-19/011,4,4787388461,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.5,0.24,20,5259.40,5259.40,0,22766664,окно 10.02-10.05 мешок ноль
2026-05-19/012,1,4981701177,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.4,0.24,20,5679.70,5679.70,0,22186585,окно 10.02-10.05 мешок ноль
2026-05-19/012,2,5936743999,BTCUSDT,INDICATOR,Short,0.7,0.015,5000,0.001,0.001,1.4,0.24,20,6003.35,6003.35,0,22097420,окно 10.02-10.05 мешок ноль
2026-05-19/012,3,4372024625,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.4,0.24,20,4751.84,4912.90,-161.06,23884262,окно 10.02-10.05
2026-05-19/012,4,5374851208,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.4,0.24,20,5741.53,5911.03,-169.50,22555039,окно 10.02-10.05
2026-05-19/013,1,5775264615,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.4,0.24,20,3981.50,3981.50,0,12825959,окно 10.02-10.05 мешок ноль
2026-05-19/013,2,6132267863,BTCUSDT,INDICATOR,Short,1.2,0.01,5000,0.001,0.001,1.4,0.24,20,2881.14,2881.14,0,9200581,окно 10.02-10.05 мешок ноль
2026-05-19/013,3,6177852153,BTCUSDT,INDICATOR,Short,0.8,0.01,5000,0.001,0.003,1.4,0.24,20,5117.85,5117.85,0,18295130,окно 10.02-10.05 мешок ноль
2026-05-19/013,4,5486538558,BTCUSDT,INDICATOR,Short,0.5,0.01,5000,0.001,0.003,1.4,0.24,20,-14650.08,11876.77,-26527.75,28859479,окно 10.02-10.05 МИНУС поза -8 BTC
2026-05-19/014,1,5917514532,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.4,0.24,20,4157.14,4157.14,0,12804550,окно 10.02-10.05 мешок ноль
2026-05-19/014,2,4877554204,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.4,0.24,20,5257.91,5257.91,0,23329667,окно 10.02-10.05 мешок ноль
2026-05-19/014,3,4977575794,BTCUSDT,INDICATOR,Short,0.7,0.01,5000,0.001,0.001,1.4,0.24,20,4979.86,4979.86,0,23592363,окно 10.02-10.05 мешок ноль
2026-05-19/014,4,6105839484,BTCUSDT,INDICATOR,Short,1.0,0.01,5000,0.001,0.001,1.4,0.24,20,3846.52,3846.52,0,13197937,окно 10.02-10.05 мешок ноль
2026-05-20/002,1,4325346764,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.09,1.9,0.3,60,1601.02,2335.02,-734.00,8051564,
2026-05-20/002,2,4325346764,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.09,1.9,0.3,60,1601.02,2335.02,-734.00,8051564,дубль
2026-05-20/002,3,5115844911,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.0,0.3,30,1384.47,1434.77,-50.30,4570935,
2026-05-20/002,4,6243265908,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.09,1.9,0.3,60,-280.48,-185.58,-94.89,252749,МИНУС
2026-05-20/003,1,5868258906,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.09,1.9,0.3,60,-54.69,-34.77,-19.92,59904,МИНУС
2026-05-20/003,2,4780705153,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.9,0.3,30,-377.01,1963.14,-2340.16,2892268,МИНУС
2026-05-20/003,3,6286248082,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.01,1.9,0.3,30,448.21,535.22,-89.01,1015659,
2026-05-20/003,4,5130343629,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.01,1.9,0.3,30,-38.02,1003.11,-1041.14,1015570,МИНУС
2026-05-20/004,1,5182753898,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.01,1.9,0.3,30,-36.35,1004.79,-1041.14,1015987,МИНУС
2026-05-20/004,2,4972014158,ETHUSDT,INDICATOR,Short,3.0,0.1,5000,0.01,0.01,1.9,0.3,60,1230.11,1230.11,0,1941913,мешок ноль
2026-05-20/004,3,4944411014,ETHUSDT,INDICATOR,Short,3.0,0.1,5000,0.01,0.01,1.9,0.3,60,1495.54,1495.54,0,2895177,мешок ноль
2026-05-20/004,4,5668246772,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.3,0.3,60,1579.54,1622.11,-42.57,4748170,
2026-05-20/006,1,5699851959,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.3,0.3,60,1605.86,1995.08,-389.22,4755301,
2026-05-20/006,2,5193461433,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.3,0.3,60,257.54,2473.66,-2216.12,2982586,
2026-05-20/006,3,6273081086,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.04,1.3,0.3,30,-1218.36,2217.37,-3435.73,3733649,МИНУС
2026-05-20/006,4,5763027015,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.3,0.3,60,1580.80,1623.37,-42.57,4763057,
2026-05-20/007,1,5034263671,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.04,1.3,0.3,60,-860.32,2575.41,-3435.73,3885055,МИНУС
2026-05-20/007,2,6398267656,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.3,0.3,60,1692.43,1989.68,-297.24,4767354,
2026-05-20/007,3,5206149281,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.3,0.3,60,2156.86,2616.60,-459.75,5488120,
2026-05-20/007,4,4604745657,ETHUSDT,INDICATOR,Short,3.0,0.1,5000,0.01,0.05,1.9,0.3,60,1140.68,1140.68,0,1566988,мешок ноль
2026-05-20/008,1,4806119306,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.3,0.3,60,2338.38,2338.33,0.05,3227582,мешок ноль
2026-05-20/008,2,5425774477,ETHUSDT,INDICATOR,Short,3.0,0.1,5000,0.01,0.05,1.9,0.3,60,1144.62,1144.62,0,1607166,мешок ноль
2026-05-20/008,3,4687846353,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.3,0.3,60,1308.12,1374.40,-65.28,2185067,
2026-05-20/008,4,6383336201,ETHUSDT,INDICATOR,Short,3.0,0.1,5000,0.01,0.05,1.9,0.3,60,961.86,961.86,0,887472,мешок ноль
2026-05-21/002,2,5638524721,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.04,,100,197.10,225.97,-28.87,239075,трейлинг-стоп%
2026-05-21/002,3,4404412694,ETHUSDT,INDICATOR,Long,-1.2,0.1,5000,0.01,0.05,1.04,,100,192.97,221.84,-28.87,243578,трейлинг-стоп%
2026-05-21/002,4,6054355301,ETHUSDT,INDICATOR,Long,-1.5,0.1,5000,0.01,0.05,1.3,,100,183.54,183.54,0,263098,мешок ноль
2026-05-21/003,1,4978257719,ETHUSDT,INDICATOR,Long,-1.0,0.1,5000,0.01,0.05,1.3,,100,182.45,210.64,-28.39,241208,
2026-05-21/003,2,4791186214,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.1,,100,197.52,218.72,-21.20,273855,
2026-05-21/003,3,5604917053,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.1,,0,3457.96,3486.50,-28.54,2396980,
2026-05-21/003,4,5258176792,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.4,,0,3582.31,3627.45,-45.14,2508171,
2026-05-21/004,1,5607784760,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,0,3573.16,3617.80,-44.65,2497502,
2026-05-21/004,2,5271684292,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.5,,0,3608.17,3655.88,-47.71,2528027,
2026-05-21/004,3,6138384998,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.5,,50,1569.07,1569.25,-0.18,2231224,
2026-05-21/004,4,6136742789,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,50,1516.28,1516.45,-0.17,2155412,
2026-05-21/005,1,4638200301,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,70,1832.47,1832.63,-0.16,2200386,
2026-05-21/005,2,4633014808,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,20,1175.13,1175.32,-0.19,1833165,
2026-05-21/005,3,6230188701,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,110,2107.80,2107.93,-0.13,2275061,
2026-05-21/005,4,5238753187,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,90,1994.75,1994.91,-0.16,2245277,
2026-05-21/006,1,5006579209,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.09,1.3,,0,6450.46,6517.04,-66.58,4412059,
2026-05-21/006,2,4855286965,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.07,1.3,,0,5038.69,5097.19,-58.50,3463272,
2026-05-21/006,3,4590811730,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.07,1.3,,0,-977.08,1427.98,-2404.68,891747,МИНУС
2026-05-21/006,4,4667759844,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.09,1.3,,0,-1046.34,1796.87,-2843.20,1106802,МИНУС
2026-05-21/007,1,5089079314,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.01,1.3,,0,-139.69,212.00,-351.69,134274,МИНУС
2026-05-21/007,2,5328019044,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.01,1.3,,0,-304.96,420.43,-725.39,265233,МИНУС
2026-05-21/007,3,4627374202,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.05,1.3,,0,-712.46,1028.27,-1740.72,648772,МИНУС
2026-05-21/007,4,6306073245,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.03,1.3,,0,-396.14,623.38,-1019.52,393380,МИНУС
2026-05-21/009,1,6015816534,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.03,1.1,,0,2118.17,2140.02,-21.85,1474701,
2026-05-21/009,2,5000269340,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.03,1.2,,0,2149.09,2175.87,-26.78,1506450,
2026-05-21/009,3,5485700029,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.01,1.3,,0,727.34,738.91,-11.57,512676,
2026-05-21/009,4,6067087491,ETHUSDT,INDICATOR,Long,-1.4,0.1,5000,0.01,0.02,1.3,,0,1443.83,1464.61,-20.78,1017015,
2026-05-21/011,1,5828916048,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,300,1.2,,0,0.19358,0.19363,-0.0000470,11184000,
2026-05-21/011,2,5305945981,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,300,1.2,,0,0.23136,0.23136,-0.0000041,7328600,
2026-05-21/011,3,4847185732,BTCUSD-инв,INDICATOR,Long,-1.4,0.02,5000,100,300,1.2,,0,0.13161,0.13163,-0.0000222,7496800,
2026-05-21/011,4,5305945981,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,300,1.2,,0,0.23136,0.23136,-0.0000041,7328600,дубль
2026-05-21/013,1,5228993030,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,300,1.3,,0,0.25203,0.25202,0.0000016,5783100,
2026-05-21/013,2,5990523318,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,300,1.3,,0,0.17741,0.17746,-0.0000545,12978200,
2026-05-21/013,3,5020201937,BTCUSD-инв,INDICATOR,Long,-1.4,0.01,5000,100,300,1.3,,0,0.23221,0.23230,-0.0000875,16860100,
2026-05-21/013,4,6397034932,BTCUSD-инв,INDICATOR,Long,-1.4,0.02,5000,100,300,1.3,,0,0.13151,0.13153,-0.0000222,7493400,
2026-05-21/012,1,6027508470,BTCUSD-инв,INDICATOR,Long,-1.4,0.02,5000,100,100,1.3,,0,0.12019,0.12022,-0.0000263,8707600,
2026-05-21/012,2,4877215959,BTCUSD-инв,INDICATOR,Long,-1.4,0.01,5000,100,100,1.3,,0,0.25805,0.25814,-0.0000910,14730800,
2026-05-21/012,3,5977741066,BTCUSD-инв,INDICATOR,Long,-1.4,0.02,5000,100,100,1.3,,0,-0.21573,0.07145,-0.28719,7192600,МИНУС
2026-05-21/012,4,4830200106,BTCUSD-инв,INDICATOR,Long,-1.4,0.02,5000,100,100,1.3,,0,-0.40402,0.15589,-0.55991,12296400,МИНУС
2026-05-21/015,1,4969994304,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,100,1.3,,0,-0.24395,0.11824,-0.36219,9341400,МИНУС
2026-05-21/015,2,5110776093,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,100,1.3,,0,-0.08249,0.03943,-0.12192,3115700,МИНУС
2026-05-21/015,3,6391156988,BTCUSD-инв,INDICATOR,Long,-1.0,0.04,5000,100,100,1.3,,0,-0.08745,0.03960,-0.12704,3133300,МИНУС
2026-05-21/015,4,6391156988,BTCUSD-инв,INDICATOR,Long,-1.0,0.04,5000,100,100,1.3,,0,-0.08745,0.03960,-0.12704,3133300,дубль
2026-05-21/016,2,4938021489,BTCUSD-инв,INDICATOR,Long,-1.4,0.04,5000,100,100,1.3,,0,0.06545,0.06547,-0.0000277,3781500,
2026-05-21/016,3,6402484368,BTCUSD-инв,INDICATOR,Long,-1.0,0.04,5000,100,100,1.3,,0,0.06543,0.06544,-0.0000114,3778700,
2026-05-19/016,1,5570942798,ETHUSDT,INDICATOR,Short,1.4,0.5,5000,0.01,0.05,1.04,,20,118.16,122.71,-4.55,231306,
2026-05-19/016,2,5665846010,ETHUSDT,INDICATOR,Short,1.0,0.5,5000,0.01,0.05,1.04,,20,111.55,124.53,-13.47,234301,
2026-05-19/016,3,6169532418,ETHUSDT,INDICATOR,Short,0.5,0.5,5000,0.01,0.05,1.04,,20,112.77,124.68,-11.90,237078,
2026-05-19/016,4,4629965247,ETHUSDT,INDICATOR,Short,1.5,0.5,5000,0.01,0.05,1.04,,20,117.26,120.89,-3.64,228625,
2026-05-19/017,2,5731116050,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.04,,20,694.94,716.33,-21.39,1304996,
2026-05-19/017,3,4592030737,ETHUSDT,INDICATOR,Short,1.4,0.2,5000,0.01,0.05,1.04,,20,336.97,371.99,-35.03,617387,
2026-05-19/017,4,5090804199,ETHUSDT,INDICATOR,Short,1.4,0.4,5000,0.01,0.05,1.04,,20,132.60,148.87,-16.28,298660,
2026-05-19/018,1,5921542628,ETHUSDT,INDICATOR,Short,1.4,0.3,5000,0.01,0.05,1.04,,20,198.41,205.17,-6.76,474445,
2026-05-19/018,2,5003513572,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.4,,20,886.36,929.28,-42.90,1425696,
2026-05-19/018,3,5362067069,ETHUSDT,INDICATOR,Short,0.7,0.1,5000,0.01,0.03,1.4,,20,825.79,966.81,-141.01,1699046,
2026-05-19/018,4,5503311696,ETHUSDT,INDICATOR,Short,0.5,0.1,5000,0.01,0.03,1.4,,20,831.96,968.24,-136.28,1710158,
2026-05-19/019,1,5087212310,ETHUSDT,INDICATOR,Short,0.9,0.1,5000,0.01,0.03,1.4,,20,848.27,998.01,-149.74,1618609,
2026-05-19/019,2,5548253077,ETHUSDT,INDICATOR,Short,1.7,0.1,5000,0.01,0.03,1.4,,20,695.90,723.31,-27.41,1314489,
2026-05-19/019,3,6066842577,ETHUSDT,INDICATOR,Short,1.1,0.1,5000,0.01,0.03,1.4,,20,825.75,975.50,-149.74,1578416,
2026-05-19/019,4,5393258804,ETHUSDT,INDICATOR,Short,1.4,0.05,5000,0.01,0.03,1.4,,20,1431.01,1460.95,-29.93,2571631,
2026-05-19/021,1,4926928816,ETHUSDT,INDICATOR,Short,1.2,0.1,5000,0.01,0.03,1.4,,20,804.03,953.77,-149.74,1540501,
2026-05-19/021,2,4360773359,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.3,,20,867.04,910.20,-43.16,1426242,
2026-05-19/021,3,4772282112,ETHUSDT,INDICATOR,Short,1.5,0.1,5000,0.01,0.03,1.4,,20,854.89,884.24,-29.35,1384547,
2026-05-19/021,4,5529459316,ETHUSDT,INDICATOR,Short,1.6,0.1,5000,0.01,0.03,1.4,,20,853.23,882.71,-29.49,1340592,
2026-05-19/022,1,4639869927,ETHUSDT,INDICATOR,Short,1.7,0.4,5000,0.01,0.05,1.04,,20,132.16,148.32,-16.15,293590,
2026-05-19/022,2,6210022455,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.6,,20,882.12,929.45,-47.33,1452458,
2026-05-19/022,3,5060920016,ETHUSDT,INDICATOR,Short,1.4,0.4,5000,0.01,0.05,1.7,,20,346.18,363.42,-17.23,731044,
2026-05-19/022,4,6200219352,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.5,,20,885.26,929.78,-44.52,1451839,
2026-05-19/023,1,5606922886,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,1.8,,20,940.80,989.30,-48.50,1456781,
2026-05-19/023,2,5561022823,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.03,2.0,,20,921.26,969.04,-47.78,1461679,
2026-05-19/023,3,4681666852,ETHUSDT,INDICATOR,Short,2.4,0.1,5000,0.01,0.03,1.8,,20,441.41,441.41,0,874388,мешок ноль
2026-05-19/023,4,5268625865,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.04,1.8,,20,1029.43,1048.56,-19.12,1874771,
2026-05-19/024,1,5676649905,ETHUSDT,INDICATOR,Short,1.8,0.1,5000,0.01,0.05,1.8,,20,1099.20,1099.20,0,1710050,мешок ноль
2026-05-19/024,2,6383259257,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.02,1.8,,20,568.31,600.03,-31.72,1078023,
2026-05-19/024,3,5246082974,ETHUSDT,INDICATOR,Short,1.8,0.1,5000,0.01,0.07,1.8,,20,1220.88,1220.88,0,2136208,мешок ноль
2026-05-19/024,4,5743347071,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.05,1.8,,20,1230.92,1253.91,-22.99,2257302,
2026-05-19/026,1,6201780425,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1048.69,1075.53,-26.84,2636876,
2026-05-19/026,2,6254339221,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.08,1.8,,20,1402.69,1432.88,-30.19,2548757,
2026-05-19/026,3,6319958746,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1068.17,1095.24,-27.07,2656878,
2026-05-19/026,4,5129421109,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1045.77,1075.85,-30.08,2709851,
2026-05-19/027,1,4377788114,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1129.97,1155.22,-25.26,2567664,
2026-05-19/027,2,5489284588,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1147.69,1174.64,-26.94,2596976,
2026-05-19/027,3,5318701486,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1150.86,1177.57,-26.72,2588190,
2026-05-19/027,4,4600870680,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1186.40,1216.70,-30.30,2587303,
2026-05-19/028,1,5134659044,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1450.63,1474.97,-24.34,2508964,
2026-05-19/028,2,5244289301,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1344.96,1375.26,-30.30,2653105,
2026-05-19/028,3,4871414547,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1409.48,1433.21,-23.73,2517759,
2026-05-19/028,4,4786414008,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1508.44,1535.31,-26.87,2519138,
2026-05-19/029,1,4782012670,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,20,1161.11,1194.88,-33.77,2603201,
2026-05-19/029,2,4505713491,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,10,1130.11,1130.11,0,2186597,мешок ноль
2026-05-19/029,3,5400800084,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,15,1007.50,1037.80,-30.30,2503368,
2026-05-19/029,4,6333968271,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,25,1416.16,1443.08,-26.92,2672605,
2026-05-19/031,1,6265949002,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,50,1623.33,1711.46,-88.13,2966180,
2026-05-19/031,2,4688334372,ETHUSDT,INDICATOR,Short,1.4,0.1,5000,0.01,0.06,1.8,,50,1362.88,1447.06,-84.18,3577699,
