id,window_start,window_end,exchange,contract,pair,strategy,side,base_offset,dyn_offset,step,orders,size,max_size,mult,instop,target,take_profit,min_stop,max_stop,exit_at_average,profit,realized,unrealized,volume_usdt,triggers,position_btc,avg_price,avg_sell,out_stop,notes
5196945226,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.4,400,0.005,,,0,1.25,,0.006,0.02,on,2989.45,6426.31,-3436.86,1115115,79,0.395,69306.6,68440.3,,
6368069505,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,400,0.01,,,0,1.25,,0.006,0.02,on,2856.59,6190.91,-3334.32,1086436,42,0.42,69291.3,68425.1,,Finished
5025302183,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.2,800,0.0025,,,0,1.55,,0.006,0.02,on,3294.65,6460.02,-3165.36,886815,144,0.36,69261.0,68187.5,,
4875514057,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.4,400,0.005,,,0,1.55,,0.006,0.02,on,3450.84,6897.18,-3446.35,938201,79,0.395,69306.6,68232.4,,
5035154902,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.2,800,0.0025,,,0,1.0,,0.006,0.02,on,2133.97,5305.68,-3171.7,1164554,144,0.36,69261.0,68568.4,,
4729563066,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.4,400,0.005,,,0,1.0,,0.006,0.02,on,2411.05,5846.01,-3434.96,1285240,79,0.395,69306.6,68613.5,,Finished
4676613726,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,400,0.01,,,0,1.0,,0.006,0.02,on,3201.86,6537.1,-3335.24,1450440,42,0.42,69292.3,68599.4,,
6291265623,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.2,800,0.0025,,,0,0.6,,0.006,0.02,on,1201.94,4116.23,-2914.29,1595893,139,0.3475,69651.2,69233.3,,
5465904621,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.4,400,0.005,,,0,0.6,,0.006,0.02,on,1305.6,4740.6,-3435.0,1792025,79,0.395,69306.6,68890.8,,
6048647104,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,400,0.01,,,0,0.6,,0.006,0.02,on,1946.03,5204.8,-3258.77,2022196,41,0.41,69285.0,68869.3,,
5276261795,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.1,800,0.0013,,,0,0.4,,0.006,0.02,on,1765.38,3231.59,-1466.21,2040854,196,0.2548,72246.8,71957.8,,Finished
6281065952,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,400,0.01,,,0,0.4,,0.006,0.02,on,1082.46,4409.39,-3326.93,2817159,42,0.42,69292.0,69014.9,,worst $/BTC = 2577
4622728457,2025-09-10,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.1,800,0.0013,,,0,,1,0.006,0.02,on,2014.9,4828.92,-2814.02,1045687,255,0.3315,69511.1,68816.0,,"TARGET EMPTY, uses Take-Profit=1 instead — not comparable to target-based runs"
6130068888,2025-09-20,2026-09-10,OKX,USDT_FUTURES,BTC-USDT-SWAP,DYNAMIC_GRID,Short,0.4,0.06,0.8,200,0.01,,,0,1.55,,0.006,0.02,on,3711.18,7385.49,-3674.31,1020759,42,0.42,69292.3,68218.2,,WINDOW STARTS 10 DAYS LATER (2025-09-20) — not directly comparable
