sheet,slot,id,window,equity_trough,position_extreme,unit,note
2026-05-18/010,2,6205834579,10.02-10.05,-4200,-0.85,USDT,МИНУС -2911 вход 0.7%
2026-05-18/010,3,5802482361,10.02-10.05,-7000,-2.2,USDT,+2051 вход 0.7% макс 0.003 таргет 0.21
2026-05-18/010,4,5802482361,10.02-10.05,-7000,-2.2,USDT,повтор
2026-05-18/011,1,5045354007,10.02-10.05,-6000,-1.9,USDT,+2315 вход 0.7% макс 0.003
2026-05-18/011,2,4700093858,10.02-10.05,-7000,-1.6,USDT,+1050 вход 1% макс 0.003
2026-05-18/011,3,6233046333,10.02-10.05,-2000,-0.55,USDT,+467 вход 1% макс 0.003
2026-05-18/011,4,4908901586,10.02-10.05,-2500,-0.85,USDT,+799 вход 1% шаг 0.01
2026-05-18/012,1,4908901586,10.02-10.05,-2500,-0.85,USDT,повтор
2026-05-18/012,2,6233046333,10.02-10.05,-2000,-0.55,USDT,повтор
2026-05-18/012,3,5264948241,10.02-10.05,-2500,-0.5,USDT,+836 шаг 0.01 мульт 1.2
2026-05-18/012,4,4398358027,10.02-10.05,-1500,-0.55,USDT,+501 шаг 0.015
2026-05-18/013,1,5396728649,10.02-10.05,-7000,-2.2,USDT,+1803 шаг 0.01 мульт 1.3
2026-05-18/013,2,4460902803,10.02-10.05,-3500,-1.0,USDT,+950 шаг 0.02 мульт 1.3
2026-05-18/013,3,6298115033,10.02-10.05,-7000,-2.5,USDT,+1824 шаг 0.01 мульт 1.3
2026-05-18/013,4,6420737823,10.02-10.05,-7000,-2.2,USDT,+1855 шаг 0.01
2026-05-18/014,1,4460902803,10.02-10.05,-3500,-1.0,USDT,повтор
2026-05-18/014,2,5163442235,10.02-10.05,-2500,-0.8,USDT,+825 шаг 0.01 мульт 1.3
2026-05-18/014,4,5163442235,10.02-10.05,-2500,-0.8,USDT,повтор
2026-05-18/015,1,4460902803,10.02-10.05,-3500,-1.0,USDT,повтор
2026-05-18/015,2,4539598255,10.02-10.05,-5000,-1.3,USDT,+1321 шаг 0.01 макс 0.002
2026-05-18/015,3,4580356305,10.02-10.05,-7000,-2.5,USDT,+1774 шаг 0.01
2026-05-18/015,4,6280163650,10.02-10.05,-7000,-2.5,USDT,+2249 шаг 0.01
2026-05-18/016,1,5304779076,10.02-10.05,-2000,-0.55,USDT,+448 шаг 0.02 макс 0.001
2026-05-18/016,2,4361083115,10.02-10.05,-4500,-1.6,USDT,+1160 шаг 0.01 макс 0.002
2026-05-18/016,3,5389207795,10.02-10.05,-4000,-1.0,USDT,+707 шаг 0.02 макс 0.002
2026-05-18/016,4,4360821458,10.02-10.05,-3500,-0.9,USDT,+650 шаг 0.01
2026-05-18/017,1,4712345247,10.02-10.05,-3500,-0.9,USDT,+936 шаг 0.02
2026-05-18/017,2,6421538409,10.02-10.05,-7000,-2.2,USDT,+2125 шаг 0.01
2026-05-18/017,3,4679977506,10.02-10.05,-7000,-2.5,USDT,+2242 шаг 0.01
2026-05-18/017,4,5242146191,10.02-10.05,-7000,-2.2,USDT,+1931 шаг 0.01
2026-05-18/018,1,6099885504,10.02-10.05,-7000,-2.5,USDT,+2040 шаг 0.01
2026-05-18/018,2,4997310838,10.02-10.05,-7000,-2.5,USDT,+2156 шаг 0.01
2026-05-18/018,3,4688367183,10.02-10.05,-7000,-2.5,USDT,+2208 шаг 0.01
2026-05-19/001,1,6382932165,10.02-10.05,-14000,-3.4,USDT,+1745 вход 1% инстоп 0.004
2026-05-19/001,2,5578080396,10.02-10.05,-6000,-2.0,USDT,+2281 вход 1% инстоп 0.003
2026-05-19/001,3,4830442837,10.02-10.05,-14000,-3.4,USDT,+1577 вход 1%
2026-05-19/001,4,6066504845,10.02-10.05,-4000,-1.4,USDT,+2327 вход 1% инстоп 0.003
2026-05-19/002,1,5337099975,10.02-10.05,-27000,-5.0,USDT,МИНУС -16960 инстоп 0.01 макс.стоп 0.04
2026-05-19/002,2,6201398031,10.02-10.05,-8000,-2.2,USDT,+2002 инстоп 0.007
2026-05-19/002,3,5852489954,10.02-10.05,-7000,-2.2,USDT,+2123 инстоп 0.002 макс.стоп 0.018
2026-05-19/002,4,4781873445,10.02-10.05,-6000,-2.2,USDT,+1853 инстоп 0.002 макс.стоп 0.015
2026-05-19/003,1,4348063964,10.02-10.05,-6000,-2.2,USDT,+2279 инстоп 0.003 макс.стоп 0.02
2026-05-19/003,2,5889630363,10.02-10.05,-6000,-2.2,USDT,+2050 инстоп 0.003 макс.стоп 0.015
2026-05-19/003,3,4467049477,10.02-10.05,-4000,-1.5,USDT,+1397 вход 0.7% шаг 0.02 таргет 0.21
2026-05-19/003,4,5543011091,10.02-10.05,-8000,-1.6,USDT,МИНУС -4595 вход 0.3% шаг 0.02
2026-05-19/004,1,5858893588,10.02-10.05,-1600,-0.7,USDT,+1202 вход 1% шаг 0.02 таргет 0.21
2026-05-19/004,2,6132918173,10.02-10.05,-8000,-1.5,USDT,МИНУС -4889 вход 0.5% шаг 0.02
2026-05-19/004,3,6002492312,10.02-10.05,-4000,-1.0,USDT,+935 вход 1.3% шаг 0.02
2026-05-19/004,4,6181157680,10.02-10.05,-800,-0.45,USDT,+634 вход 1.5% шаг 0.02
2026-05-19/005,1,4327659852,10.02-10.05,-5000,-1.4,USDT,+2108 вход 0.7% шаг 0.015
2026-05-19/005,2,5999998092,10.02-10.05,-2000,-0.7,USDT,+1469 вход 0.7% шаг 0.025
2026-05-19/005,3,4423996797,10.02-10.05,-2500,-0.9,USDT,+289 вход 0.7% шаг 0.03
2026-05-19/005,4,4916953273,10.02-10.05,-5000,-1.5,USDT,+3113 вход 0.7% шаг 0.01
2026-05-19/006,1,5650159746,10.02-10.05,-4500,-1.4,USDT,+1532 шаг 0.03
2026-05-19/006,2,4324427983,10.02-10.05,-4500,-1.4,USDT,+1644 шаг 0.01 мульт 1.2
2026-05-19/006,3,5050261147,10.02-10.05,-8000,-2.5,USDT,+5038 шаг 0.01 таргет 0.21
2026-05-19/006,4,6098304995,10.02-10.05,-27000,-4.0,USDT,МИНУС -14598 таргет 0.35
2026-05-19/007,1,5481277661,10.02-10.05,-16000,-3.0,USDT,МИНУС -7728 таргет 0.18
2026-05-19/007,2,4734689655,10.02-10.05,-8000,-2.5,USDT,+5051 таргет 0.25
2026-05-19/007,3,6013030772,10.02-10.05,-7000,-2.2,USDT,+4944 таргет 0.3
2026-05-19/007,4,4862415489,10.02-10.05,-6000,-2.2,USDT,+5146 таргет 0.24
2026-05-19/008,1,5501256444,10.02-10.05,-12000,-3.0,USDT,+4330 таргет 0.23
2026-05-19/008,2,5256352276,10.02-10.05,-12000,-3.0,USDT,+3881 таргет 0.22
2026-05-19/008,3,4302278341,10.02-10.05,-12000,-3.5,USDT,+3434 таргет 0.2
2026-05-19/009,1,4990993286,10.02-10.05,-6000,-2.2,USDT,+4728 таргет 0.24 тейк 8
2026-05-19/009,2,5456196505,10.02-10.05,-4000,-2.2,USDT,+4910 таргет 0.24 тейк 10
2026-05-19/009,3,5081640560,10.02-10.05,-8000,-2.0,USDT,+5362 таргет 0.24 тейк 14
2026-05-19/009,4,6095342890,10.02-10.05,-6000,-2.0,USDT,+5776 таргет 0.24 тейк 16
2026-05-19/010,1,4625502340,10.02-10.05,-5000,-2.0,USDT,+5850 таргет 0.24 тейк 18
2026-05-19/010,2,5398823117,10.02-10.05,-7000,-2.0,USDT,+5762 таргет 0.24 тейк 20
2026-05-19/010,3,5501652752,10.02-10.05,-5000,-2.0,USDT,+4788 таргет 0.24 тейк 12
2026-05-19/010,4,4907585087,10.02-10.05,-12000,-3.5,USDT,+5122 таргет 0.24 тейк 20
2026-05-19/011,1,6387960395,10.02-10.05,-4500,-2.2,USDT,+6111 таргет 0.24 мульт 1.3
2026-05-19/011,2,5331458628,10.02-10.05,-4000,-1.6,USDT,+5838 таргет 0.24 мульт 1.1
2026-05-19/011,3,4594656290,10.02-10.05,-4500,-2.2,USDT,+6159 таргет 0.24 мульт 1.4
2026-05-19/011,4,4787388461,10.02-10.05,-6000,-2.0,USDT,+5259 таргет 0.24 мульт 1.5
2026-05-19/012,1,4981701177,10.02-10.05,-8000,-2.2,USDT,+5679 мульт 1.4 мин.стоп 0.008
2026-05-19/012,2,5936743999,10.02-10.05,-8000,-2.2,USDT,+6003 мульт 1.4 инстоп 0.015
2026-05-19/012,3,4372004525,10.02-10.05,-12000,-3.0,USDT,+4751 мульт 1.4 инстоп 0.018
2026-05-19/012,4,5374851208,10.02-10.05,-6000,-2.0,USDT,+5741 мульт 1.4 инстоп 0.022
2026-05-19/013,1,5775264615,10.02-10.05,-4000,-2.2,USDT,BTC +3982 вход 1% мульт 1.4
2026-05-19/013,2,6132267863,10.02-10.05,-2500,-1.2,USDT,BTC +2881 вход 1.2%
2026-05-19/013,3,6177852153,10.02-10.05,-8000,-2.2,USDT,BTC +5118 вход 0.8%
2026-05-19/013,4,5486538558,10.02-10.05,-27000,-6.0,USDT,BTC МИНУС -14651 вход 0.5%
2026-05-19/014,1,5091751453,10.02-10.05,-4500,-2.2,USDT,BTC +4157 вход 1%
2026-05-19/014,2,4877554204,10.02-10.05,-12000,-3.5,USDT,BTC +5258 вход 0.7%
2026-05-19/014,3,4977575794,10.02-10.05,-12000,-3.0,USDT,BTC +4980 вход 0.7%
2026-05-19/014,4,6105839484,10.02-10.05,-4000,-2.0,USDT,BTC +3846 вход 1%
2026-05-19/015,2,5682742938,02.02-04.05,-70,-0.75,USDT,ETH +112 шаг 0.5 вход 0.7%
2026-05-19/015,3,4627627157,02.02-04.05,-60,-0.75,USDT,ETH +111 шаг 0.5 вход 0.9%
2026-05-19/015,4,5205308648,02.02-04.05,-70,-0.75,USDT,ETH +111 шаг 0.5 вход 1.2%
2026-05-19/016,1,5570942798,02.02-04.05,-55,-0.75,USDT,ETH +118 шаг 0.5 вход 1.4%
2026-05-19/016,2,5665846019,02.02-04.05,-55,-0.75,USDT,ETH +111 шаг 0.5 вход 1%
2026-05-19/016,3,6169532418,02.02-04.05,-60,-0.75,USDT,ETH +113 шаг 0.5 вход 0.5%
2026-05-19/016,4,4629965247,02.02-04.05,-55,-0.75,USDT,ETH +117 шаг 0.5 вход 1.5%
2026-05-19/017,2,5731116050,02.02-04.05,-700,-8.0,USDT,ETH +695 шаг 0.1 вход 1.4%
2026-05-19/017,3,4592030737,02.02-04.05,-200,-2.5,USDT,ETH +337 шаг 0.2 вход 1.4%
2026-05-19/017,4,5090804199,02.02-04.05,-80,-1.3,USDT,ETH +133 шаг 0.4 вход 1.4%
2026-05-19/018,1,5921542628,02.02-04.05,-200,-2.5,USDT,ETH +196 шаг 0.3 вход 1.4%
2026-05-19/018,2,5003513572,02.02-04.05,-500,-5.0,USDT,ETH +886 шаг 0.1 мульт 1.4
2026-05-19/018,3,5362067069,02.02-04.05,-300,-5.0,USDT,ETH +826 шаг 0.1 вход 0.7%
2026-05-19/018,4,5503311696,02.02-04.05,-300,-5.0,USDT,ETH +832 шаг 0.1 вход 0.5%
2026-05-19/019,1,5087212312,02.02-04.05,-450,-5.0,USDT,ETH +848 шаг 0.1 вход 0.9%
2026-05-19/019,2,5548253077,02.02-04.05,-400,-5.0,USDT,ETH +696 шаг 0.1 вход 1.7%
2026-05-19/019,3,6066842577,02.02-04.05,-300,-5.0,USDT,ETH +826 шаг 0.1 вход 1.1%
2026-05-19/019,4,5393258804,02.02-04.05,-400,-8.0,USDT,ETH +1431 шаг 0.05 вход 1.4%
2026-05-19/020,1,4750477609,02.02-04.05,-600,-5.0,USDT,ETH +851 шаг 0.08
2026-05-19/020,2,5116453879,02.02-04.05,-150,-3.0,USDT,ETH +396 шаг 0.2
2026-05-19/020,3,6406009846,02.02-04.05,-400,-5.0,USDT,ETH +428 шаг 0.15
2026-05-19/020,4,5080186998,02.02-04.05,-300,-5.0,USDT,ETH +816 шаг 0.1 мульт 1.1
2026-05-19/021,1,4926928816,02.02-04.05,-400,-5.0,USDT,ETH +804 вход 1.2%
2026-05-19/021,2,4360077359,02.02-04.05,-300,-5.0,USDT,ETH +867 мульт 1.3
2026-05-19/021,3,4772282112,02.02-04.05,-200,-5.0,USDT,ETH +855 вход 1.5%
2026-05-19/021,4,5529459316,02.02-04.05,-200,-5.0,USDT,ETH +853 вход 1.6%
2026-05-19/022,1,4639869627,02.02-04.05,-100,-1.7,USDT,ETH +132 шаг 0.4 вход 1.7%
2026-05-19/022,2,6211022455,02.02-04.05,-300,-5.0,USDT,ETH +882 мульт 1.6
2026-05-19/022,3,5060920016,02.02-04.05,-300,-2.5,USDT,ETH +346 шаг 0.4 мульт 1.7
2026-05-19/022,4,6200219352,02.02-04.05,-200,-5.0,USDT,ETH +885 мульт 1.5
2026-05-19/023,1,5606922886,02.02-04.05,-300,-5.0,USDT,ETH +940 мульт 1.8
2026-05-19/023,2,5561622823,02.02-04.05,-300,-5.0,USDT,ETH +921 мульт 2.0
2026-05-19/023,3,4681666852,02.02-04.05,-600,-6.0,USDT,ETH +441 вход 2.4% мульт 1.8
2026-05-19/023,4,5268625865,02.02-04.05,-400,-6.0,USDT,ETH +1029 макс 0.04 мульт 1.8
2026-05-19/024,1,5676649905,02.02-04.05,-800,-9.0,USDT,ETH +1099 вход 1.8% макс 0.05
2026-05-19/024,2,6363259257,02.02-04.05,-300,-4.0,USDT,ETH +568 макс 0.02 мульт 1.8
2026-05-19/024,3,5246082974,02.02-04.05,-1000,-12.0,USDT,ETH +1221 вход 1.8% макс 0.07
2026-05-19/024,4,5743347071,02.02-04.05,-700,-9.0,USDT,ETH +1231 макс 0.05 мульт 1.8
2026-05-19/025,1,5356613887,02.02-04.05,-600,-9.0,USDT,ETH +1121 вход 1.8% макс 0.06
2026-05-19/025,2,4497448995,02.02-04.05,-500,-8.0,USDT,ETH +1490 макс 0.06 мульт 1.8
2026-05-19/025,3,5856725923,02.02-04.05,-1000,-9.0,USDT,ETH +1189 макс 0.07
2026-05-19/025,4,4509118805,02.02-04.05,-600,-10.0,USDT,ETH +1387 макс 0.08
2026-05-19/026,1,6201780425,02.02-04.05,-800,-8.0,USDT,ETH +1048 инстоп 0.012
2026-05-19/026,2,6254339221,02.02-04.05,-600,-8.0,USDT,ETH +1402 инстоп 0.01
2026-05-19/026,3,6311958746,02.02-04.05,-700,-8.0,USDT,ETH +1068 инстоп 0.025
2026-05-19/026,4,5129421109,02.02-04.05,-700,-8.0,USDT,ETH +1045 инстоп 0.035
2026-05-19/027,1,4377788114,02.02-04.05,-900,-8.0,USDT,ETH +1129 инстоп 0.018
2026-05-19/027,2,5489284588,02.02-04.05,-600,-8.0,USDT,ETH +1147 мин.стоп 0.006
2026-05-19/027,3,5318701486,02.02-04.05,-700,-8.0,USDT,ETH +1150 мин.стоп 0.008
2026-05-19/027,4,4600817088,02.02-04.05,-800,-8.0,USDT,ETH +1186 макс.стоп 0.015
2026-05-19/028,1,5134659044,02.02-04.05,-600,-9.0,USDT,ETH +1450 мин.стоп 0.018
2026-05-19/028,2,5244289301,02.02-04.05,-700,-8.0,USDT,ETH +1344 макс.стоп 0.025
2026-05-19/028,3,4871414547,02.02-04.05,-700,-8.0,USDT,ETH +1409 макс.стоп 0.018
2026-05-19/028,4,4766414008,02.02-04.05,-700,-8.0,USDT,ETH +1508 макс.стоп 0.035
2026-05-19/029,1,4782012670,02.02-04.05,-900,-8.0,USDT,ETH +1161 макс.стоп 0.045
2026-05-19/029,2,4505713491,02.02-04.05,-700,-8.0,USDT,ETH +1130 тейк 10
2026-05-19/029,3,5400800084,02.02-04.05,-700,-8.0,USDT,ETH +1007 тейк 15
2026-05-19/029,4,6333968271,02.02-04.05,-900,-10.0,USDT,ETH +1416 тейк 25
2026-05-19/030,1,6150528586,02.02-04.05,-600,-9.0,USDT,ETH +1545 тейк 30
2026-05-19/030,2,4824218312,02.02-04.05,-600,-10.0,USDT,ETH +1584 тейк 70
2026-05-19/030,3,6073736167,02.02-04.05,-800,-9.0,USDT,ETH +1626 тейк 50
2026-05-19/030,4,5004181320,02.02-04.05,-800,-10.0,USDT,ETH +1527 тейк 50
2026-05-19/031,1,6265949002,02.02-04.05,-900,-9.0,USDT,ETH +1623 таргет 0.18 тейк 50
2026-05-19/031,2,4686334372,02.02-04.05,-900,-10.0,USDT,ETH +1362 таргет 0.18
2026-05-19/031,3,5175033193,02.02-04.05,-1500,-15.0,USDT,ETH +1513 таргет 0.21
2026-05-19/031,4,4306480552,02.02-04.05,-1200,-8.0,USDT,ETH +1537 таргет 0.21
2026-05-19/032,1,5040156247,02.02-04.05,-900,-9.0,USDT,ETH +1626 таргет 0.24
2026-05-19/032,2,4972585947,02.02-04.05,-1000,-8.0,USDT,ETH +1435 таргет 0.3 макс 0.05
2026-05-19/032,3,6076216260,02.02-04.05,-700,-8.0,USDT,ETH +997 таргет 0.3 макс 0.04
2026-05-19/032,4,5740161653,02.02-04.05,-1500,-10.0,USDT,ETH +1842 таргет 0.3 макс 0.07
2026-05-19/033,1,5086957170,02.02-04.05,-1800,-15.0,USDT,ETH +2034 таргет 0.3 макс 0.08
2026-05-19/033,2,5176341140,02.02-04.05,-1000,-8.0,USDT,ETH +1137 таргет 0.3 мульт 1.6
2026-05-19/033,3,6372369046,02.02-04.05,-1200,-10.0,USDT,ETH +1378 таргет 0.3 макс 0.05
2026-05-19/033,4,6210383081,02.02-04.05,-1000,-8.0,USDT,ETH +1681 таргет 0.3 макс 0.06
2026-05-19/034,1,5183753218,02.02-04.05,-1500,-10.0,USDT,ETH +1851 таргет 0.3 макс 0.07
2026-05-19/034,2,5669903224,02.02-04.05,-1200,-8.0,USDT,ETH +1692 таргет 0.3 макс 0.07
2026-05-19/034,3,5911465855,02.02-04.05,-1600,-15.0,USDT,ETH +1998 таргет 0.3 макс 0.08
2026-05-19/034,4,6042781523,02.02-04.05,-900,-8.0,USDT,ETH +986 таргет 0.3 макс 0.04
2026-05-19/035,1,5393413971,02.02-04.05,-1100,-10.0,USDT,ETH +1479 таргет 0.3 мульт 1.7
2026-05-19/035,2,5822454066,02.02-04.05,-900,-8.0,USDT,ETH +1682 таргет 0.3 мульт 1.7
2026-05-19/035,3,4374695284,02.02-04.05,-1200,-10.0,USDT,ETH +1744 таргет 0.3 мульт 1.7
2026-05-19/035,4,5435395167,02.02-04.05,-1200,-15.0,USDT,ETH +1989 таргет 0.3 мульт 1.7
2026-05-19/036,1,5590216731,02.02-04.05,-800,-8.0,USDT,ETH +984 таргет 0.3 мульт 1.9
2026-05-19/036,2,4995139656,02.02-04.05,-1000,-10.0,USDT,ETH +1433 таргет 0.3 мульт 1.9
2026-05-19/036,3,6003395520,02.02-04.05,-1000,-10.0,USDT,ETH +1626 таргет 0.3 мульт 1.9
2026-05-19/036,4,4423463824,02.02-04.05,-1500,-10.0,USDT,ETH +1893 таргет 0.3 макс 0.07
2026-05-19/037,1,5016102490,02.02-04.05,-1500,-15.0,USDT,ETH +2052 тейк 50 мульт 1.9
2026-05-19/037,2,4453608809,02.02-04.05,-900,-8.0,USDT,ETH +983 макс 0.04 мульт 2.0
2026-05-19/037,3,5187866925,02.02-04.05,-1500,-15.0,USDT,ETH +2177 макс 0.09 мульт 1.8
2026-05-19/037,4,6317456546,02.02-04.05,-1000,-8.0,USDT,ETH +1622 макс 0.09 мульт 2.0
2026-05-19/038,1,5198040229,02.02-04.05,-1000,-8.0,USDT,ETH +1382 макс 0.05 мульт 2.0
2026-05-19/038,2,6032425325,02.02-04.05,-1000,-10.0,USDT,ETH +1892 макс 0.07 мульт 2.0
2026-05-19/038,3,4820628845,02.02-04.05,-1000,-12.0,USDT,ETH +2152 макс 0.08 мульт 2.0
2026-05-19/038,4,5627224016,02.02-04.05,-1000,-15.0,USDT,ETH +2040 макс 0.09 мульт 2.0
2026-05-19/039,1,4499935186,02.02-04.05,-1500,-15.0,USDT,ETH +2184 макс 0.1 мульт 2.0
2026-05-19/039,2,5092643033,02.02-04.05,-1000,-12.0,USDT,ETH +2092 макс 0.1 мульт 1.9
2026-05-19/039,3,5960626690,02.02-04.05,-2000,-15.0,USDT,ETH +2284 макс 0.11 мульт 1.9
2026-05-19/039,4,4836413301,02.02-04.05,-1000,-15.0,USDT,ETH +2134 макс 0.09 мульт 1.9
2026-05-19/040,1,5794671549,02.02-04.05,-1500,-15.0,USDT,ETH +2402 тейк 60
2026-05-19/040,2,4984976945,02.02-04.05,-700,-12.0,USDT,ETH +2488 тейк 50
2026-05-19/040,3,5994227314,02.02-04.05,-1000,-15.0,USDT,ETH +2283 тейк 70
2026-05-19/040,4,5020619277,02.02-04.05,-1000,-12.0,USDT,ETH +2034 тейк 50
2026-05-19/041,1,6015255114,02.02-04.05,-2000,-15.0,USDT,ETH +2286 тейк 80
2026-05-19/041,2,6359519029,02.02-04.05,-1500,-15.0,USDT,ETH +2342 тейк 60
2026-05-19/041,3,4620943220,02.02-04.05,-1500,-15.0,USDT,ETH +2332 тейк 60
2026-05-19/041,4,5628921081,02.02-04.05,-1500,-15.0,USDT,ETH +2181 тейк 55
2026-05-19/042,1,6192296164,02.02-04.05,-1500,-15.0,USDT,ETH +2263 тейк 65
2026-05-19/042,2,5054718179,02.02-04.05,-1500,-15.0,USDT,ETH +2243 тейк 55
2026-05-19/042,3,5175106751,02.02-04.05,-1500,-15.0,USDT,ETH +2330 тейк 65
2026-05-19/042,4,6332065980,02.02-04.05,-1500,-15.0,USDT,ETH +2324 тейк 60
2026-05-19/043,1,5152872625,02.02-04.05,-1500,-15.0,USDT,ETH +2391 тейк 60 макс 0.09
2026-05-20/001,1,5421240249,05.11-02.02,-2000,-8.0,USDT,ETH +3665 окно ноя-фев
2026-05-20/001,2,6023604988,20.05-08.08,-90000,-50.0,USDT,ETH МИНУС -55368 мешок -62284 ОБВАЛ
2026-05-20/001,3,5412720377,05.11-02.02,-1500,-8.0,USDT,ETH +3725 окно ноя-фев
2026-05-20/001,4,5829863032,20.05-08.08,-85000,-50.0,USDT,ETH МИНУС -55033 мешок -61949 ОБВАЛ
2026-05-20/002,1,4325346764,20.07-18.10,-22000,-35.0,USDT,ETH +1601 мешок -734
2026-05-20/002,2,4325346764,20.07-18.10,-22000,-35.0,USDT,повтор
2026-05-20/002,3,5115844911,20.07-18.10,-13000,-22.0,USDT,ETH +1384 макс 0.05
2026-05-20/002,4,6243265908,20.07-18.10,-400,-1.2,USDT,ETH МИНУС -280 тейк 60 стоп -300
2026-05-20/003,1,5668258906,20.07-18.10,-60,-1.5,USDT,ETH МИНУС -55 out-stop 0.2 стоп -50
2026-05-20/003,2,4780705153,20.07-18.10,-7000,-12.0,USDT,ETH МИНУС -377 мешок -2340
2026-05-20/003,3,6286246082,20.07-18.10,-2500,-3.0,USDT,ETH +446 макс 0.01
2026-05-20/003,4,5130343629,20.07-18.10,-2000,-3.0,USDT,ETH МИНУС -38 мешок -1041
2026-05-20/004,1,5182753899,20.07-18.10,-2500,-8.0,USDT,ETH МИНУС -36 мешок -1041
2026-05-20/004,2,4972014158,20.07-18.10,-2000,-8.0,USDT,ETH +1230 вход 3% тейк 60
2026-05-20/004,3,4944411014,20.07-18.10,-5000,-8.0,USDT,ETH +1496 вход 3% тейк 60
2026-05-20/004,4,5668246772,20.07-18.10,-12000,-20.0,USDT,ETH +1580 макс 0.05 мульт 1.3
2026-05-20/005,1,4705205922,20.07-18.10,-7000,-14.0,USDT,ETH +1726 макс 0.03 мульт 1.3
2026-05-20/005,2,5875290811,20.07-18.10,-2500,-3.0,USDT,ETH МИНУС -46 макс 0.01 мульт 1.3
2026-05-20/005,3,5149929240,20.07-18.10,-7000,-12.0,USDT,ETH +252 макс 0.03 мешок -2216
2026-05-20/005,4,5699851959,20.07-18.10,-12000,-20.0,USDT,ETH +1606 макс 0.05
