ts_utc,bot_id,bot_name,alias,status,position,profit,current_profit,in_filled_count,in_filled_qty,out_filled_count,out_filled_qty,trigger_count,trigger_qty,average_price,trade_volume,balance,liquidation_price,schema_version
2026-06-10T08:43:04+00:00,4306550166,XRP,,2,-70,0,-0.2718289,3,,0,,3,,1.1061,188.502,7514.336593,111.8412,3
2026-06-10T08:44:03+00:00,5693279219,SOL,,2,3,0.916009,-1.0804170499999999,4,,1,,3,,63.8191304347826,1071.612,7514.336593,0,3
2026-06-10T08:44:03+00:00,5617871752,WLD,,2,0,1.7097259999999999,-4.07809,8,,2,,6,,0,1499.8500000000001,7515.202452,0,3
2026-06-10T08:44:03+00:00,4306550166,XRP,,2,-70,0,-0.2718289,3,,0,,3,,1.1061,188.502,7514.336593,111.8645,3
2026-06-10T08:45:04+00:00,5693279219,SOL,,2,3,0.916009,-1.0804170499999999,4,,1,,3,,63.8191304347826,1071.612,7514.336593,0,3
2026-06-10T08:45:04+00:00,5617871752,WLD,,2,0,1.7097259999999999,-4.07809,8,,2,,6,,0,1499.8500000000001,7515.202452,0,3
2026-06-10T08:45:04+00:00,4306550166,XRP,,2,-70,0,-0.2718289,3,,0,,3,,1.1061,188.502,7514.336593,111.8858,3
2026-06-10T08:46:04+00:00,5693279219,SOL,,2,3,0.916009,-1.0804170499999999,4,,1,,3,,63.8191304347826,1071.612,7514.336593,0,3
2026-06-10T08:46:04+00:00,5617871752,WLD,,2,0,1.7097259999999999,-4.07809,8,,2,,6,,0,1499.8500000000001,7515.202452,0,3
2026-06-10T08:46:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:47:04+00:00,5693279219,SOL,,2,3,0.916009,-1.0804170499999999,4,,1,,3,,63.8191304347826,1071.612,7514.336593,0,3
2026-06-10T08:47:04+00:00,5617871752,WLD,,2,0,1.7097259999999999,-5.1553495,10,,2,,8,,0,1797.2700000000002,7515.344592,0,3
2026-06-10T08:47:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:48:04+00:00,5693279219,SOL,,2,3,0.916009,-1.0804170499999999,4,,1,,3,,63.8191304347826,1071.612,7514.336593,0,3
2026-06-10T08:48:04+00:00,5617871752,WLD,,2,0,1.7097259999999999,-5.1553495,10,,2,,8,,0,1797.2700000000002,7515.344592,0,3
2026-06-10T08:48:04+00:00,4306550166,XRP,,2,0,0,-0.2238864,4,,0,,4,,0,265.88,7515.344592,0,3
2026-06-10T08:49:04+00:00,5693279219,SOL,,2,3,0.916009,-1.0804170499999999,4,,1,,3,,63.8191304347826,1071.612,7514.336593,0,3
2026-06-10T08:49:04+00:00,5617871752,WLD,,2,300,2.565334,-4.7948045,10,,3,,7,,0.50035,1945.92,7524.279105,0,3
