direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
down,1720136460000,2024-07-04T23:41:00.000000000,56944.15,-1.868,1,2.78,-21.5,0.4446,1.566,90.369,0.0001,0.569,-850.8,0.4825,0.309,-673.4,0.5262,0.11,-609.7,0.5351,0.366,-754.2,0.5053,-3.414,0,192,whipsaw,0.211
down,1720148280000,2024-07-05T02:58:00.000000000,55998.15,-1.52,2,5.9,-864.7,0.4295,1.88,123.3634,0.0001,-0.677,-1208.9,0.4268,-0.886,-1518.7,0.4552,-1.025,-1389.6,0.4531,-1.372,-1254.2,0.4732,-4.486,-1,3,trend,-0.764
up,1720191900000,2024-07-05T15:05:00.000000000,56264.02,1.601,1,1.98,-212.6,0.5576,1.579,51.4441,0.0001,-0.106,-189.4,0.5246,0.126,-259.0,0.5243,0.171,-254.5,0.5212,0.475,-108.2,0.4976,1.379,-1,80,trend,1.33
down,1720387440000,2024-07-07T21:24:00.000000000,56366.0,-1.616,1,3.81,332.6,0.3912,1.463,56.8624,0.0001,-0.231,541.2,0.5394,0.037,1141.4,0.4987,0.395,1105.2,0.5241,0.486,1127.6,0.4668,-3.736,-1,145,trend,0.031
down,1720400280000,2024-07-08T00:58:00.000000000,55082.0,-1.678,1,6.13,35.8,0.476,1.586,81.2241,7.9e-05,-0.447,-184.3,0.3966,-1.164,-323.4,0.4114,-0.708,-183.6,0.444,-0.303,276.5,0.4581,-1.492,228,12,trend,-2.644
up,1720427100000,2024-07-08T08:25:00.000000000,56744.74,1.638,1,4.89,-1016.2,0.5928,1.647,83.2714,8.2e-05,-0.158,74.2,0.442,0.754,466.3,0.4766,1.572,-370.7,0.5116,1.919,693.2,0.498,2.629,-1,21,trend,1.353
down,1720448820000,2024-07-08T14:27:00.000000000,56340.0,-1.504,1,2.67,600.6,0.5632,1.521,90.6179,8.2e-05,-1.736,-645.9,0.4904,-0.238,-1006.3,0.5141,-0.579,-1613.5,0.4766,0.202,-1870.1,0.4912,-2.733,-1,2,trend,-1.968
up,1720450860000,2024-07-08T15:01:00.000000000,56308.01,1.831,1,8.66,-1001.8,0.4911,1.853,130.3286,8.2e-05,-0.114,340.3,0.4436,0.096,-149.5,0.484,-0.036,-238.6,0.4678,-0.739,559.4,0.4907,0.848,56,-1,whipsaw,1.454
up,1720585560000,2024-07-10T04:26:00.000000000,58984.0,1.546,1,6.52,-155.2,0.5705,1.378,134.2883,0.0001,0.197,-0.2,0.5473,0.299,-13.8,0.5039,0.366,141.6,0.4812,0.363,978.3,0.4629,0.824,-1,-1,partial,-2.38
down,1720707840000,2024-07-11T14:24:00.000000000,57565.44,-1.554,1,7.06,-217.3,0.5118,1.659,75.2224,0.0001,0.376,374.0,0.5238,0.593,28.6,0.5322,0.594,250.7,0.5397,0.782,-140.7,0.5373,-0.673,-1,-1,partial,-0.418
down,1720747200000,2024-07-12T01:20:00.000000000,56636.99,-1.501,1,2.79,-257.7,0.3659,1.631,62.2821,6.4e-05,-0.115,-242.7,0.4089,0.281,-403.1,0.4508,0.407,-583.4,0.4524,0.765,-709.5,0.4742,-0.167,63,-1,whipsaw,-2.327
up,1720911480000,2024-07-13T22:58:00.000000000,59470.27,1.805,1,8.93,356.9,0.545,1.424,77.7883,0.0001,-0.323,234.7,0.5524,0.474,372.0,0.5608,-0.23,634.7,0.4823,-0.431,782.8,0.4703,0.639,-1,-1,partial,2.297
up,1721010780000,2024-07-15T02:33:00.000000000,62268.0,1.521,1,7.46,-183.1,0.4634,1.591,67.7952,4.6e-05,0.051,-83.3,0.4606,0.389,129.3,0.4899,0.251,230.4,0.4536,0.366,995.3,0.4584,1.174,-1,189,trend,3.714
down,1721112900000,2024-07-16T06:55:00.000000000,62913.11,-1.507,1,2.96,63.8,0.4429,1.44,61.3555,-5.1e-05,0.169,109.2,0.4874,0.603,-491.7,0.5309,0.158,-322.6,0.4993,0.006,205.6,0.5128,-0.858,225,-1,whipsaw,-4.258
up,1721397360000,2024-07-19T13:56:00.000000000,65217.21,1.722,1,7.57,306.2,0.5946,1.536,61.8617,4.9e-05,-0.064,-129.0,0.428,0.183,-396.0,0.5304,0.825,-1071.1,0.5259,0.799,-107.8,0.5469,2.444,-1,27,trend,2.0
up,1721404920000,2024-07-19T16:02:00.000000000,66325.49,1.608,1,4.79,-88.5,0.5293,1.558,46.4021,4.6e-05,-0.34,239.4,0.5319,-0.186,537.6,0.5236,0.125,943.7,0.5511,-0.084,1030.4,0.4954,1.599,-1,183,trend,0.746
down,1721585280000,2024-07-21T18:08:00.000000000,66088.09,-1.85,1,13.85,-980.2,0.4331,1.538,62.5603,6e-06,0.139,558.0,0.4075,0.977,1512.8,0.5489,1.36,734.9,0.5236,1.397,423.8,0.5006,-0.471,16,-1,whipsaw,-2.061
up,1721587200000,2024-07-21T18:40:00.000000000,67002.75,1.692,1,17.89,-65.1,0.549,1.691,120.7359,6e-06,-0.031,-170.4,0.5183,-0.171,-338.9,0.4542,-0.028,-80.0,0.4652,0.459,-1626.5,0.5002,2.036,-1,51,trend,0.596
down,1721869740000,2024-07-25T01:09:00.000000000,64374.54,-1.808,1,4.35,-6.6,0.4236,1.343,41.5124,0.0001,0.273,-816.7,0.4546,0.051,183.9,0.4579,-0.004,799.2,0.4724,-0.114,1034.2,0.4723,-0.892,-1,-1,partial,-3.316
up,1721918280000,2024-07-25T14:38:00.000000000,64700.01,1.845,1,3.5,-966.6,0.5589,1.516,65.1628,0.0001,-0.112,1009.4,0.5949,0.161,1454.6,0.5329,-0.083,1239.6,0.5042,0.022,875.9,0.5044,0.754,-1,-1,partial,3.725
down,1722004380000,2024-07-26T14:33:00.000000000,66916.02,-1.551,1,4.04,660.8,0.4225,1.622,78.5686,0.0001,0.29,-508.8,0.5285,0.335,-350.3,0.5061,0.786,-393.6,0.5116,0.965,-307.6,0.4893,-0.036,35,-1,whipsaw,-3.039
down,1722111780000,2024-07-27T20:23:00.000000000,66898.08,-1.592,1,15.59,989.6,0.4945,1.496,200.0159,9.1e-05,0.269,-1415.1,0.4988,0.13,354.8,0.4954,1.873,-365.6,0.5043,3.123,2949.4,0.5186,-0.371,22,-1,whipsaw,-1.759
up,1722113580000,2024-07-27T20:53:00.000000000,68151.35,1.873,1,23.99,-365.6,0.5043,1.588,286.9524,9.1e-05,-0.352,1787.4,0.5024,0.144,2018.4,0.5222,1.226,3315.0,0.5396,0.941,2843.7,0.4998,1.514,195,29,trend,-0.178
down,1722270780000,2024-07-29T16:33:00.000000000,67044.01,-1.533,1,6.99,-1248.9,0.439,1.58,85.1731,0.0001,0.221,48.6,0.5248,0.048,322.9,0.5252,-0.374,455.8,0.5,-0.051,6.3,0.5003,-0.919,-1,-1,partial,1.086
down,1722298860000,2024-07-30T00:21:00.000000000,65897.87,-1.542,1,4.15,168.0,0.4256,1.298,94.1397,3.4e-05,0.547,-1339.3,0.5555,0.647,-1264.3,0.5566,0.956,-1481.5,0.5379,1.302,-1840.5,0.5374,-0.054,31,-1,whipsaw,-0.191
down,1722455580000,2024-07-31T19:53:00.000000000,65017.99,-1.585,1,10.76,865.1,0.4406,1.577,98.4231,3.8e-05,0.316,-612.8,0.533,0.415,-468.8,0.4956,-0.326,-719.1,0.4777,-0.486,-42.7,0.5032,-0.751,-1,-1,partial,2.452
down,1722525660000,2024-08-01T15:21:00.000000000,63072.01,-1.644,1,6.75,-1201.4,0.4095,1.793,86.1134,0.0001,0.101,-261.6,0.4437,-0.165,246.9,0.4842,-0.263,528.0,0.4963,0.035,1010.4,0.5289,-1.221,-1,139,trend,0.593
up,1722536040000,2024-08-01T18:14:00.000000000,63304.0,1.586,1,4.76,-100.2,0.535,1.498,109.5552,0.0001,-0.272,46.8,0.5234,-0.37,-121.3,0.5221,-0.751,-57.7,0.5493,-0.069,293.4,0.5403,3.304,-1,141,trend,-0.496
up,1722545340000,2024-08-01T20:49:00.000000000,64572.12,1.65,1,3.6,-43.2,0.4804,1.495,79.9514,0.0001,-0.071,-248.1,0.4845,0.337,-1063.0,0.5261,0.35,-796.4,0.4924,0.572,-1438.3,0.5126,1.684,-1,56,trend,-3.497
down,1722565980000,2024-08-02T02:33:00.000000000,63717.67,-1.539,1,2.12,-557.7,0.3813,1.551,80.7748,0.0001,0.283,-50.3,0.5012,1.033,6.9,0.5878,0.974,-260.5,0.5461,1.25,-307.8,0.4969,-0.078,14,-1,whipsaw,3.838
down,1722610080000,2024-08-02T14:48:00.000000000,63817.98,-1.533,1,4.93,-900.9,0.4603,1.566,126.4841,0.0001,-0.405,101.2,0.4106,-0.802,-162.7,0.437,-1.548,-219.5,0.453,-0.693,-302.1,0.4773,-2.17,-1,11,trend,2.617
up,1722613920000,2024-08-02T15:52:00.000000000,63420.01,1.534,1,4.04,-247.8,0.5189,1.709,119.05,0.0001,0.262,-103.3,0.5462,0.142,-161.6,0.5566,-0.246,-80.5,0.5339,-0.085,-802.4,0.5291,0.341,178,-1,whipsaw,-3.604
down,1722634080000,2024-08-02T21:28:00.000000000,61720.0,-1.5,1,3.9,-320.6,0.4635,1.673,89.5497,0.0001,-0.165,170.9,0.4866,0.731,-158.4,0.5693,0.612,4.4,0.5626,0.379,-46.8,0.5413,-1.969,-1,207,trend,1.999
down,1722647520000,2024-08-03T01:12:00.000000000,60553.11,-1.54,1,4.58,-414.4,0.4556,1.448,93.9997,0.0001,0.369,-298.2,0.5573,0.956,-21.6,0.5907,0.766,-55.6,0.5541,1.494,-1348.2,0.5418,-0.079,16,-1,whipsaw,0.005
down,1722782340000,2024-08-04T14:39:00.000000000,59688.0,-1.771,1,6.6,-934.0,0.3769,1.792,59.0614,5.3e-05,0.151,-646.2,0.465,-0.097,-356.8,0.447,-0.526,-310.0,0.4684,-0.749,-197.9,0.4885,-4.298,-1,73,trend,9.77
down,1722793440000,2024-08-04T17:44:00.000000000,57368.0,-1.653,1,12.23,24.3,0.4376,1.852,93.7352,0.0001,0.816,33.8,0.5194,0.865,34.8,0.5162,1.475,-117.7,0.5253,1.921,169.1,0.5069,-0.427,6,-1,whipsaw,4.645
down,1722816840000,2024-08-05T00:14:00.000000000,57471.99,-1.602,3,4.13,-1353.9,0.4572,1.5,75.2207,0.0001,0.811,-263.8,0.5262,-0.108,-401.8,0.4619,-1.305,-1054.0,0.4432,-6.166,-3955.3,0.4448,-8.999,2,24,whipsaw,4.309
