direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
down,1718482080000,2024-06-15T20:08:00.000000000,0.5,-1.686,1,15.94,-625733.0,0.5271,1.732,0.0009,0.0001,-0.222,-359500.0,0.53,-0.726,-420571.0,0.4632,-0.484,-936582.0,0.4698,-0.726,-192559.0,0.4805,-1.574,-1,11,trend,1.291
up,1718610540000,2024-06-17T07:49:00.000000000,0.49,1.525,3,9.8,-419017.0,0.4898,1.394,0.0007,0.0001,1.218,2452162.0,0.4568,1.116,5550290.0,0.4539,0.426,8268391.0,0.4401,0.568,5478873.0,0.4708,2.334,0,4,whipsaw,1.603
down,1718618640000,2024-06-17T10:04:00.000000000,0.49,-1.534,1,8.89,-2619281.0,0.4652,1.812,0.0009,0.0001,0.0,-671776.0,0.4407,0.708,-1628025.0,0.4762,1.477,-1388730.0,0.4903,0.667,-201487.0,0.4574,-0.485,27,-1,whipsaw,-0.667
up,1718634000000,2024-06-17T14:20:00.000000000,0.51,1.712,1,7.07,-1979563.0,0.4917,1.695,0.001,0.0001,0.822,68331.0,0.575,0.959,-4384465.0,0.5414,0.333,2135988.0,0.4909,1.096,2604432.0,0.5043,2.056,117,6,trend,-3.543
down,1718639760000,2024-06-17T15:56:00.000000000,0.51,-1.526,1,4.38,800157.0,0.4433,1.498,0.0008,0.0001,-0.078,-19048.0,0.4145,-0.255,-1540997.0,0.4187,-1.334,-6140759.0,0.43,0.157,-5798037.0,0.4694,-3.02,101,21,trend,4.942
up,1718642940000,2024-06-17T16:49:00.000000000,0.51,1.983,1,5.37,-3325092.0,0.4955,1.855,0.0011,6.7e-05,0.55,523890.0,0.5794,0.491,367007.0,0.5615,0.412,1010360.0,0.5037,0.766,697641.0,0.4795,2.003,-1,48,trend,-5.99
down,1718657640000,2024-06-17T20:54:00.000000000,0.51,-1.543,1,1.13,259635.0,0.4216,1.664,0.0006,6.7e-05,-0.196,-1138150.0,0.323,-0.607,-2365395.0,0.3998,-0.196,-4490565.0,0.4498,-0.078,-4826234.0,0.482,-2.017,-1,136,trend,4.289
down,1718673780000,2024-06-18T01:23:00.000000000,0.5,-1.571,1,2.34,-1838926.0,0.4529,1.698,0.0009,0.0001,0.263,1005165.0,0.5161,0.404,3122069.0,0.5071,-2.363,-5552979.0,0.4999,-1.555,-3971859.0,0.4919,-5.272,-1,18,trend,0.222
up,1718676780000,2024-06-18T02:13:00.000000000,0.48,1.637,1,9.19,-6693061.0,0.4871,2.142,0.0016,0.0001,0.454,-678610.0,0.5327,0.929,-623251.0,0.4979,0.888,-941878.0,0.5171,1.156,-1703291.0,0.4915,2.23,-1,15,trend,2.209
up,1718695440000,2024-06-18T07:24:00.000000000,0.5,2.924,2,3.37,183559.0,0.5988,1.4,0.0008,0.0001,-0.695,2028654.0,0.5341,-0.795,-207121.0,0.5421,-0.556,-1204819.0,0.5402,-0.576,-983714.0,0.5174,1.232,0,85,whipsaw,-1.986
