direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1717785240000,2024-06-07T18:34:00.000000000,3670.1,1.593,1,32.95,1840.2,0.4683,1.937,8.7641,0.00017,-0.019,1639.4,0.3781,0.168,4810.9,0.3928,-0.155,9618.6,0.3914,0.689,6711.6,0.4458,0.943,-1,-1,partial,0.529
down,1718072100000,2024-06-11T02:15:00.000000000,3608.49,-1.528,1,17.81,-8619.5,0.4592,1.394,11.0852,0.0001,-0.313,-2346.7,0.4948,-0.446,-2783.2,0.5206,-0.297,-1630.9,0.4976,-0.08,1637.0,0.4938,-2.079,-1,3,trend,3.189
down,1718080380000,2024-06-11T04:33:00.000000000,3537.67,-1.532,1,13.86,-15325.9,0.4564,2.2,3.9931,0.0001,0.626,641.3,0.5097,0.773,1375.6,0.5307,0.793,4167.6,0.5089,0.674,4451.4,0.5083,-0.969,-1,-1,partial,0.392
down,1718120400000,2024-06-11T15:40:00.000000000,3458.69,-1.703,1,5.55,-3974.7,0.4933,1.874,5.2421,0.0001,0.329,-4112.1,0.4237,-0.08,2319.9,0.4536,0.631,11381.5,0.474,0.064,8622.9,0.4666,-0.772,180,-1,whipsaw,-4.702
up,1718195400000,2024-06-12T12:30:00.000000000,3597.2,1.83,1,4.66,-2676.3,0.5344,1.254,3.7245,0.0001,0.539,-1845.2,0.5053,1.12,-6997.4,0.4811,1.136,-2725.4,0.4959,0.35,-1265.9,0.4662,1.718,0,1,whipsaw,-2.218
down,1718221620000,2024-06-12T19:47:00.000000000,3530.13,-1.619,1,4.85,-1984.4,0.5004,1.69,6.4748,0.0001,-0.227,-2245.2,0.4889,-0.157,2473.2,0.4846,0.531,-11.1,0.5176,0.755,-2047.4,0.5258,-0.476,101,-1,whipsaw,1.114
down,1718293200000,2024-06-13T15:40:00.000000000,3452.82,-1.548,1,4.73,-2003.7,0.4541,1.816,3.7359,0.0001,-0.386,-1436.3,0.4671,-0.26,-933.7,0.5015,-0.052,-1911.8,0.4942,0.163,-6078.6,0.5137,-0.719,-1,-1,partial,-0.816
down,1718381280000,2024-06-14T16:08:00.000000000,3420.4,-1.901,1,5.88,-784.4,0.3679,1.591,3.9383,0.0001,-0.063,-6218.8,0.4526,-0.047,-3129.6,0.4688,-0.425,-1844.0,0.4651,-0.897,-1010.8,0.4576,-1.7,-1,55,trend,-4.385
up,1718400420000,2024-06-14T21:27:00.000000000,3470.61,1.658,1,3.46,9776.8,0.4929,1.336,4.4855,0.0001,0.795,13852.5,0.5937,0.749,10297.0,0.5108,1.032,16942.3,0.4975,0.046,10884.7,0.4683,1.68,-1,8,trend,2.633
up,1718575740000,2024-06-16T22:09:00.000000000,3650.66,1.581,1,8.93,1162.6,0.5652,1.269,3.5166,0.0001,-0.141,-3085.9,0.4949,-0.467,-2988.9,0.4387,-0.403,-990.2,0.4421,-0.574,-3329.9,0.4855,0.086,173,-1,whipsaw,-3.345
up,1718642880000,2024-06-17T16:48:00.000000000,3531.01,1.533,1,7.36,-3765.1,0.5172,1.642,5.7228,9.1e-05,-0.125,1109.4,0.5397,0.18,232.6,0.5292,-0.052,-1298.8,0.4849,0.227,633.6,0.5415,1.324,-1,80,trend,-3.421
down,1718674980000,2024-06-18T01:43:00.000000000,3379.58,-2.389,1,7.98,-3071.0,0.4861,1.714,7.9631,6.6e-05,0.335,-4068.0,0.4508,0.88,-2298.9,0.4634,0.579,7345.2,0.4594,1.32,7787.8,0.4945,-0.727,17,-1,whipsaw,-4.185
up,1718721240000,2024-06-18T14:34:00.000000000,3435.78,1.65,1,4.94,2910.8,0.517,1.859,5.5221,7.8e-05,-0.004,3534.4,0.4732,0.047,3923.6,0.4826,-0.957,-3885.5,0.446,-0.623,824.0,0.4765,0.117,24,-1,whipsaw,2.393
up,1718759940000,2024-06-19T01:19:00.000000000,3544.84,1.659,1,4.64,1953.0,0.6014,1.851,3.7431,0.0001,-0.436,3934.6,0.444,-0.366,6249.8,0.447,-1.045,14267.3,0.4091,-0.367,17237.9,0.4752,1.133,27,170,whipsaw,0.67
down,1718889960000,2024-06-20T13:26:00.000000000,3534.15,-1.577,1,6.01,-14300.8,0.4379,1.791,3.1183,6.4e-05,0.097,-5112.8,0.517,0.281,-2854.6,0.483,-0.044,-2735.3,0.4881,-0.652,-11093.2,0.482,-1.362,-1,54,trend,1.596
up,1718962620000,2024-06-21T09:37:00.000000000,3520.58,1.792,1,4.19,13943.7,0.5665,1.461,5.2983,2.1e-05,-0.141,-2132.8,0.49,0.097,-9831.8,0.512,-0.076,5497.3,0.5298,-0.778,211.8,0.4889,0.348,157,-1,whipsaw,-0.852
down,1719221400000,2024-06-24T09:30:00.000000000,3335.79,-1.553,1,9.4,969.5,0.4953,1.799,3.6738,0.0001,-1.414,-28782.8,0.4286,-1.415,-27504.0,0.4855,-0.758,-12666.1,0.497,-0.606,-9438.7,0.4941,-2.872,-1,3,trend,-0.773
up,1719796800000,2024-07-01T01:20:00.000000000,3497.47,1.643,1,10.94,-1747.3,0.6062,1.371,4.6166,0.0001,0.032,1339.1,0.7114,0.242,-2596.7,0.5752,0.318,-3951.7,0.5792,0.236,-2955.6,0.5898,0.785,-1,-1,partial,-1.507
down,1720002780000,2024-07-03T10:33:00.000000000,3289.33,-1.582,1,11.45,-8151.9,0.4647,1.612,5.949,0.0001,0.43,-2349.4,0.5297,0.763,-930.6,0.5168,0.545,2127.7,0.5212,0.155,1889.0,0.4677,-0.421,207,-1,whipsaw,4.431
down,1720057680000,2024-07-04T01:48:00.000000000,3228.31,-1.832,1,7.19,2387.4,0.4306,1.596,10.1583,0.0001,-0.006,-4002.2,0.4279,-1.064,-7071.9,0.4267,-0.505,-5198.8,0.4992,-0.035,-5722.0,0.5202,-2.271,-1,12,trend,4.194
up,1720060200000,2024-07-04T02:30:00.000000000,3225.3,2.133,1,9.0,267.6,0.5715,1.487,5.0352,0.0001,0.028,-561.4,0.5034,0.022,1082.3,0.513,0.106,-458.4,0.4958,0.158,-4013.0,0.4786,0.65,239,-1,whipsaw,-4.374
down,1720099920000,2024-07-04T13:32:00.000000000,3090.69,-1.533,1,6.92,-7371.9,0.4619,1.661,7.391,0.0001,0.151,-3738.8,0.4594,0.688,-3556.2,0.5014,1.075,238.9,0.4768,0.258,167.8,0.4187,-0.079,17,-1,whipsaw,3.898
down,1720136460000,2024-07-04T23:41:00.000000000,3060.83,-1.88,1,3.87,-57.1,0.4441,1.772,3.9952,0.0001,0.483,-2964.2,0.5034,0.082,1308.2,0.5117,-0.188,-3218.0,0.5027,0.9,-6760.0,0.5081,-5.581,66,192,whipsaw,2.249
up,1720141620000,2024-07-05T01:07:00.000000000,3105.31,1.533,1,3.8,464.9,0.4897,1.585,8.581,0.0001,-0.469,-53.4,0.2975,-0.657,-2445.9,0.3973,-1.034,-5183.2,0.4335,-0.781,-4261.0,0.4424,0.042,17,-1,whipsaw,-4.148
down,1720148040000,2024-07-05T02:54:00.000000000,3023.71,-1.704,2,6.38,-825.5,0.451,1.707,9.0221,0.0001,-3.097,-3338.0,0.3923,-3.484,-39408.4,0.4414,-3.524,-25513.6,0.4617,-3.705,-23498.1,0.4404,-7.068,-1,4,trend,1.419
up,1720154940000,2024-07-05T04:49:00.000000000,2889.45,1.572,1,8.91,299.9,0.4687,1.735,7.5679,0.0001,-0.146,2342.3,0.4563,-0.498,-1485.3,0.4218,0.182,13075.0,0.4435,0.378,13126.2,0.4374,0.538,10,-1,whipsaw,2.65
up,1720172340000,2024-07-05T09:39:00.000000000,2870.27,1.537,1,3.76,1131.8,0.5299,1.561,6.1469,9.6e-05,0.373,1162.8,0.5776,0.226,1841.3,0.5014,0.866,-2967.4,0.5232,1.83,6691.7,0.5397,4.267,-1,31,trend,4.057
