n,hit,net,per_year,pos_years,method,price,fast,slow,anchor,beats_base
320,46.2,-0.281,"{2024: np.float64(-0.178), 2025: np.float64(-0.512), 2026: np.float64(0.096)}",1,SMA,close,13,34,MA200,False
425,46.1,-0.234,"{2024: np.float64(-0.307), 2025: np.float64(-0.333), 2026: np.float64(0.372)}",1,SMA,close,13,55,—,False
244,41.0,-0.449,"{2024: np.float64(-0.526), 2025: np.float64(-0.563), 2026: np.float64(0.329)}",1,SMA,close,13,55,MA200,False
327,48.6,-0.194,"{2024: np.float64(-0.135), 2025: np.float64(-0.441), 2026: np.float64(0.562)}",1,SMA,close,13,77,—,False
201,47.3,-0.181,"{2024: np.float64(-0.086), 2025: np.float64(-0.538), 2026: np.float64(1.059)}",1,SMA,close,13,77,MA200,False
305,50.5,-0.181,"{2024: np.float64(-0.159), 2025: np.float64(-0.403), 2026: np.float64(0.683)}",1,SMA,close,13,89,—,False
192,47.9,-0.252,"{2024: np.float64(-0.138), 2025: np.float64(-0.585), 2026: np.float64(0.856)}",1,SMA,close,13,89,MA200,False
280,47.1,-0.199,"{2024: np.float64(-0.139), 2025: np.float64(-0.327), 2026: np.float64(0.137)}",1,SMA,close,13,100,—,False
188,46.8,-0.285,"{2024: np.float64(-0.238), 2025: np.float64(-0.395), 2026: np.float64(0.048)}",1,SMA,close,13,100,MA200,False
198,44.4,-0.285,"{2024: np.float64(-0.059), 2025: np.float64(-0.577), 2026: np.float64(0.127)}",1,SMA,close,13,200,—,False
176,45.5,-0.299,"{2024: np.float64(-0.007), 2025: np.float64(-0.626), 2026: np.float64(0.087)}",1,SMA,close,13,200,MA200,False
795,50.6,-0.155,"{2024: np.float64(-0.227), 2025: np.float64(-0.15), 2026: np.float64(0.054)}",1,SMA,close,14,21,—,False
420,49.3,-0.174,"{2024: np.float64(-0.247), 2025: np.float64(-0.186), 2026: np.float64(0.098)}",1,SMA,close,14,21,MA200,False
590,48.0,-0.267,"{2024: np.float64(-0.23), 2025: np.float64(-0.354), 2026: np.float64(-0.138)}",0,SMA,close,14,34,—,False
324,47.8,-0.25,"{2024: np.float64(-0.156), 2025: np.float64(-0.5), 2026: np.float64(0.192)}",1,SMA,close,14,34,MA200,False
406,46.8,-0.247,"{2024: np.float64(-0.291), 2025: np.float64(-0.379), 2026: np.float64(0.409)}",1,SMA,close,14,55,—,False
237,43.0,-0.379,"{2024: np.float64(-0.475), 2025: np.float64(-0.474), 2026: np.float64(0.463)}",1,SMA,close,14,55,MA200,False
322,48.8,-0.169,"{2024: np.float64(-0.134), 2025: np.float64(-0.419), 2026: np.float64(0.677)}",1,SMA,close,14,77,—,False
199,48.2,-0.116,"{2024: np.float64(-0.022), 2025: np.float64(-0.485), 2026: np.float64(1.106)}",1,SMA,close,14,77,MA200,False
296,50.7,-0.137,"{2024: np.float64(-0.132), 2025: np.float64(-0.329), 2026: np.float64(0.585)}",1,SMA,close,14,89,—,False
188,45.7,-0.27,"{2024: np.float64(-0.17), 2025: np.float64(-0.581), 2026: np.float64(0.692)}",1,SMA,close,14,89,MA200,False
270,48.5,-0.168,"{2024: np.float64(-0.071), 2025: np.float64(-0.276), 2026: np.float64(-0.019)}",0,SMA,close,14,100,—,False
179,46.4,-0.324,"{2024: np.float64(-0.333), 2025: np.float64(-0.366), 2026: np.float64(-0.129)}",0,SMA,close,14,100,MA200,False
191,45.0,-0.287,"{2024: np.float64(-0.05), 2025: np.float64(-0.58), 2026: np.float64(0.067)}",1,SMA,close,14,200,—,False
170,45.3,-0.347,"{2024: np.float64(-0.129), 2025: np.float64(-0.62), 2026: np.float64(-0.008)}",0,SMA,close,14,200,MA200,False
506,46.0,-0.326,"{2024: np.float64(-0.157), 2025: np.float64(-0.533), 2026: np.float64(-0.237)}",0,SMA,close,21,34,—,False
291,45.7,-0.35,"{2024: np.float64(0.04), 2025: np.float64(-0.849), 2026: np.float64(-0.019)}",1,SMA,close,21,34,MA200,False
349,50.4,-0.25,"{2024: np.float64(-0.205), 2025: np.float64(-0.543), 2026: np.float64(0.573)}",1,SMA,close,21,55,—,False
